state/union_territory,city/town/village,year,so2,no2,pm10,pm2.5
Tripura,Agartala,2021,19.0,9.0,82.0,50.0
Uttar Pradesh,Agra,2021,5.0,20.0,164.0,85.0
Uttar Pradesh,Aligarh,2021,19.0,31.0,165.0,66.0
Uttar Pradesh,Allahabad,2021,8.0,22.0,133.0,53.0
Uttar Pradesh,Anpara,2021,17.0,25.0,153.0,66.0
Uttar Pradesh,Ayodhya,2021,5.0,18.0,166.0,66.0
Uttar Pradesh,Bagpat,2021,13.0,28.0,211.0,94.0
Uttar Pradesh,Bareily,2021,26.0,33.0,177.0,66.0
Uttar Pradesh,Bulandshahr,2021,15.0,24.0,195.0,93.0
Uttar Pradesh,Firozabad,2021,8.0,28.0,162.0,66.0
Uttar Pradesh,Gajroula,2021,17.0,26.0,174.0,66.0
Uttar Pradesh,Ghaziabad,2021,16.0,38.0,233.0,110.0
Uttar Pradesh,Gorakhpur,2021,17.0,26.0,241.0,66.0
Uttar Pradesh,Greater Noida,2021,12.0,47.0,221.0,96.0
Uttar Pradesh,Hapur,2021,13.0,15.0,165.0,70.0
Uttar Pradesh,Jhansi,2021,8.0,18.0,117.0,66.0
Uttar Pradesh,Kanpur,2021,12.0,44.0,199.0,71.0
Uttar Pradesh,Khurja,2021,22.0,28.0,183.0,66.0
Uttar Pradesh,Lucknow,2021,9.0,34.0,174.0,80.0
Uttar Pradesh,Mathura,2021,12.0,27.0,170.0,66.0
Uttar Pradesh,Meerut,2021,15.0,57.0,199.0,86.0
Uttar Pradesh,Moradabad,2021,15.0,21.0,184.0,95.0
Uttar Pradesh,Muzaffarnagar,2021,19.0,20.0,173.0,80.0
Uttar Pradesh,Noida,2021,13.0,40.0,215.0,99.0
Uttar Pradesh,Raibareli,2021,6.0,12.0,111.0,66.0
Uttar Pradesh,Saharanpur,2021,13.0,22.0,181.0,66.0
Uttar Pradesh,Unnao,2021,8.0,25.0,127.0,66.0
Uttar Pradesh,Varanasi,2021,12.0,34.0,133.0,60.0
Uttarakhand,Dehradun,2021,22.0,26.0,154.0,89.0
Uttarakhand,Haldwani,2021,7.0,25.0,110.0,38.0
Uttarakhand,Haridwar,2021,13.0,20.0,117.0,81.0
Uttarakhand,Kashipur,2021,17.0,21.0,118.0,62.0
Uttarakhand,Rishikesh,2021,20.0,25.0,132.0,76.0
Uttarakhand,Rudrapur,2021,19.0,22.0,123.0,59.5
West Bengal,Alipurduar,2021,9.0,34.0,97.0,43.0
West Bengal,Amtala,2021,6.0,39.0,108.0,43.0
West Bengal,Asansol,2021,9.0,29.0,123.0,59.0
West Bengal,Baharampur,2021,2.0,19.0,79.0,43.0
West Bengal,Balurghat,2021,9.0,34.0,106.0,43.0
West Bengal,Bankura,2021,2.0,15.0,78.0,43.0
West Bengal,Barasat,2021,3.0,23.0,90.0,43.0
West Bengal,Bardhaman,2021,2.0,14.0,77.0,43.0
West Bengal,Barrckpore,2021,4.0,22.0,86.0,54.0
West Bengal,Baruipur,2021,7.0,40.0,121.0,43.0
West Bengal,Bolpur,2021,2.0,14.0,75.0,43.0
West Bengal,Chinsura,2021,2.0,20.0,83.0,43.0
West Bengal,Coochbihar,2021,9.0,34.0,100.0,43.0
West Bengal,Dankuni,2021,2.0,21.0,85.0,43.0
West Bengal,Darjeeling,2021,8.0,32.0,62.0,32.0
West Bengal,Durgapur,2021,19.0,27.0,163.0,78.0
West Bengal,Ghatal,2021,12.0,37.0,106.0,43.0
West Bengal,Haldia,2021,12.0,28.0,97.0,41.0
West Bengal,Howrah,2021,14.0,33.0,129.0,77.0
West Bengal,Jalpaiguri,2021,8.0,34.0,96.0,65.0
West Bengal,Jhargram,2021,12.0,38.0,101.0,43.0
West Bengal,Kalimpong,2021,8.0,32.0,64.0,43.0
West Bengal,Kalyani,2021,2.0,21.0,83.0,48.0
West Bengal,Kharagpur,2021,13.0,39.0,124.0,43.0
West Bengal,Kolkata,2021,9.0,36.0,107.0,48.0
West Bengal,Krishnanagar,2021,2.0,20.0,80.0,43.0
West Bengal,Madhyamgram,2021,3.0,22.0,87.0,43.0
West Bengal,Malda,2021,9.0,35.0,112.0,43.0
West Bengal,Medinipur,2021,12.0,36.0,102.0,43.0
West Bengal,Purulia,2021,2.0,14.0,74.0,43.0
West Bengal,Raigunj,2021,9.0,34.0,104.0,43.0
West Bengal,Rampurhat,2021,2.0,15.0,78.0,43.0
West Bengal,Ranaghat,2021,2.0,20.0,83.0,43.0
West Bengal,Raniganj,2021,12.0,31.0,130.0,43.0
West Bengal,Rishra,2021,4.0,23.0,91.0,43.0
West Bengal,Sankrail,2021,13.0,40.0,126.0,43.0
West Bengal,Siliguri,2021,5.0,35.0,105.0,59.0
West Bengal,Suri,2021,2.0,31.0,77.0,43.0
West Bengal,Tamluk,2021,13.0,38.0,124.0,43.0
West Bengal,Tribeni,2021,2.0,20.0,86.0,43.0
West Bengal,Uluberia,2021,13.0,41.0,115.0,43.0
Andhra Pradesh,Amaravati,2022,12.0,10.0,54.0,30.0
Andhra Pradesh,Anatapur,2022,6.0,19.0,61.0,32.0
Andhra Pradesh,Chittor,2022,5.0,13.0,55.0,31.0
Andhra Pradesh,Eluru,2022,5.0,18.0,67.0,31.0
Andhra Pradesh,Guntur,2022,4.0,17.0,60.0,23.0
Andhra Pradesh,Kadapa,2022,6.0,16.0,56.0,28.0
Andhra Pradesh,Kakinada,2022,8.0,15.0,69.0,24.0
Andhra Pradesh,Kurnool,2022,6.0,18.0,64.0,34.0
Andhra Pradesh,Nellore,2022,4.0,17.0,55.0,22.0
Andhra Pradesh,Ongole,2022,5.0,18.0,50.0,17.0
Andhra Pradesh,"Rajahmundry/Rajamahend
ravaram",2022,6.0,13.0,66.0,30.0
Andhra Pradesh,Srikakulam,2022,9.0,20.0,72.0,26.0
Andhra Pradesh,Tirupati,2022,6.0,22.0,58.0,31.0
Andhra Pradesh,Vijayawada,2022,4.0,18.0,71.0,36.0
Andhra Pradesh,Visakhapatnam,2022,15.0,33.0,108.0,43.0
Andhra Pradesh,Vizianagaram,2022,9.0,19.0,70.0,25.0
Arunachal Pradesh,Itanagar,2022,2.0,11.0,58.0,19.0
Arunachal Pradesh,Naharlagun,2022,28.0,12.0,57.0,23.0
Assam,Bongaigaon,2022,5.0,12.0,56.0,30.0
Assam,Brynihat,2022,8.0,16.0,257.0,108.0
Assam,Daranga,2022,7.0,15.0,41.0,28.5
Assam,Dibrugarh,2022,6.0,11.0,44.0,22.0
Assam,Golaghat,2022,6.0,11.0,43.0,18.0
Assam,Guwahati,2022,12.0,8.0,101.0,53.0
Assam,Magherita,2022,5.0,11.0,39.0,17.0
Assam,Nagaon,2022,7.0,15.0,83.0,38.0
Assam,Nalbari,2022,7.0,14.0,95.0,47.0
Assam,North Lakhimpur,2022,7.0,15.0,60.0,27.0
Assam,Silcher,2022,7.0,11.0,45.0,20.0
Assam,Sivasagar,2022,5.0,10.0,38.0,19.0
Assam,Tezpur,2022,6.0,15.0,57.0,24.0
Assam,Tinsukia,2022,5.0,11.0,40.0,17.0
Bihar,Araria,2022,8.0,46.0,139.0,77.0
Bihar,Arrah,2022,6.0,65.0,162.0,59.0
Bihar,Aurangabad,2022,9.0,25.0,187.0,74.0
